Trail Name,Trail Type,Distance_miles,High_Point_feet,Elevation_feet,Difficulty,Seasons,Family Friendly,Backpackable,Crowded
Ainsworth Loop Hike,Loop,0.5,150.0,85.0,Easy,All year,Yes,No,No
Aldrich Butte Hike,Out and Back,13.8,,2405.0,Moderate,All Season,No,No,No
Aldrich Butte-Cedar Falls Loop Hike,Lollipop loop,16.4,1.0,3105.0,Difficult,Year round,No,No,No
Angels Rest Hike,Out and Back,4.8,1640.0,1475.0,Moderate,All Season,Yes,No,Yes
Angels Rest-Devils Rest Loop Hike,Loop,10.8,2435.0,3040.0,Moderate,All Season,Yes,No,Yes
Archer Mountain Loop Hike,Lollipop loop,6.3,2.0,1.0,Moderate,Spring through fall,No,No,No
Augspurger Mountain Hike,Out-and-back,12.6,3.0,4767.0,Difficult,Spring through fall; snowshoe in winter,No,No,No
Balfour-Klickitat Loop Hike,Loop,0.7,220.0,115.0,Easy,All year,Yes,No,No
Beacon Rock Hike,Out and Back,1.8,,680.0,Moderate,"Year round, except during ice storms",Yes,No,Yes
Bear Lake Hike,In and out,2.6,4100.0,480.0,Easy,Summer/Fall,Yes,Yes,No
Bell Creek Loop Hike,Dogbone (Out to a loop and back),17.0,,3330.0,Difficult,May-Oct,No,Yes,Crowded to Triple Falls
Benson Plateau Loop Hike,Lollipop loop,16.4,4095.0,4030.0,Difficult,Late May into October,No,Yes,Yes
Bridal Veil Falls Hike,In and out + universal access loop,1.4,230.0,205.0,Easy,All year,Yes,No,Yes
Buck Creek on Larch Mountain Hike,In and out,1.8,1.0,310.0,Easy,"All year, except during winter snows",Yes,No,No
Buck Point Hike,Out and back,1.8,710.0,600.0,Easy,Year-round,Yes,No,No
Camp Benson Falls Hike,Out and back,4.9,460.0,430.0,Easy,All year,Yes,No,No
Cape Horn Loop Hike,Loop,7.4,1.0,1230.0,Moderate,July 16th to January 31st for the loop,No,No,Yes
Cape Horn Overlooks Hike,In and out,5.2,1.0,1185.0,Moderate,All year,Yes,No,Yes
Cascade Locks West Loop Hike,Loop,3.0,280.0,100.0,Easy,Year round,Yes,No,No
Casey Creek Loop Hike,Loop,11.3,4035.0,3995.0,Difficult,Summer into Fall,No,Yes,No
Catherine Creek Arch Loop Hike,Loop,3.4,615.0,500.0,Easy,"Year round, best Mar-May",Yes,No,Yes
Catherine Creek Canyon Loop Hike,Loop,5.8,1425.0,1390.0,Moderate,"All year, best March through May",For older kids,No,Only in lower areas
Catherine Creek Universal Access Hike,Loop,1.2,265.0,90.0,Easy,All year,Yes,No,Yes
Catherine Creek West Loop Hike,Loop,3.4,1.0,1040.0,Easy,Year round,Yes,No,Yes
Catherine Creek-Coyote Wall Loop Hike,Loop,11.0,1.0,2640.0,Moderate,"Year round, best March–May",No,No,"Yes, on spring weekends"
Catherine Creek-Rowland Basin Loop Hike,Loop,4.9,1.0,1320.0,Moderate,All year: best time is spring,"Yes, for older children",No,On Sunflower Hill
Cedar Mountain Loop Hike,Lollipop loop,17.1,1.0,3970.0,Difficult,All year,No,o,No
Chenoweth Tableland Loop Hike,In and out with mini-loops,3.5,775.0,620.0,Easy,All year,Yes,No,No
Chetwoot Loop Hike,Loop,4.4,930.0,,Moderate,All,No,No,No
Chinidere Mountain Loop Hike,Loop,4.4,4.0,1140.0,Moderate,Early Summer through Fall,Yes,"Yes - connects to Gorge trail network, camping at ",Peak summer weekends
Columbia Gorge Traverse Hike,Traverse (car shuttle or multiple day hikes),34.7,1855.0,4725.0,Moderate (in sections),All year,"Yes, in short sections",Yes,No
Cook Hill Loop Hike,Lollipop loop,8.8,3.0,2930.0,Moderate,Year round,No,No,No
Cougar Rock via Elevator Shaft Hike,Loop,6.7,,1860.0,Difficult,Apr-Oct,No. Stony scramble & poison oak,Yes,No
Coyote Wall Hike,Lollipop loop,7.8,1.0,1775.0,Moderate,Year round,"Yes, but take care at the cliffs",No,Yes
Dalles Mountain Ranch Loop Hike,Loop,6.9,1310.0,1060.0,Moderate,Year-round,Yes,No,Yes
Devils Hole/Three Benches Hike,Loop,2.7,670.0,800.0,Moderate,Year round: Spring is best,No,No,No
Devils Rest via Wahkeena Hike,In and out or lollipop loop,8.4,2.0,2350.0,Moderate,Year round (periods of snow during winter),No,No,"Initially yes, but quieter as you go higher"
Dog Mountain Hike,Modified Loop,6.9,2.0,2800.0,Moderate,"All year, except during exceptional snowfall",No,No,"Yes, in spring and summer"
Dog Mountain Loop Hike,Loop,7.4,2.0,2800.0,Moderate,"Year round, except during winter storms",No,No,"Yes, especially in spring and summer"
Dublin Lake Hike,Out and Back,13.8,,3780.0,Difficult,Apr-Nov,Too long,Yes,No
Duncan Creek Hike,In and out,4.3,2.0,1100.0,Moderate,Spring through fall,"Yes, for older kids",No,No
Eagle Creek Overlook Hike,In and out,0.6,170.0,175.0,Easy,October 1st to May 30th,Yes,No,No
Eagle Creek to High Bridge Hike,Out and Back,6.4,640.0,840.0,Moderate,All year,,No,Yes
Eagle Creek to Punch Bowl Falls Hike,Out and back,4.2,505.0,525.0,Easy,Year round,"Yes, for older kids",No,Yes
Eagle Creek to Tunnel Falls Hike,Out and back,12.0,1.0,1640.0,,Year round,,Yes,Yes
Eagle-Benson Loop Hike,Loop,15.8,4.0,4260.0,Difficult,June-Oct,No,Yes,Yes (on Eagle Creek Trail)
EasyCLIMB Loop Hike,Loop,2.8,180.0,170.0,Easy,All year,Yes,No,No
Elowah Falls Loop Hike,Loop,2.1,255.0,340.0,Easy,Year-round except during winter storms,Yes,No,"Yes, as far as the falls"
Fairy Falls Loop Hike,,3.4,1.0,1495.0,Moderate,All year,Yes,No,Yes
Fort Cascades Loop Hike,Loop,1.3,60.0,15.0,Easy,year-round,Yes,No,No
Fort Rains Hike,Out and back,1.8,175.0,80.0,Easy,Year round,Yes,No,No
Franklin Ridge from Larch Mountain Loop Hike,Loop,11.8,4.0,2460.0,Difficult,Summer - mid-fall,No,No,"No, except at Sherrard Point"
Franklin Ridge Loop Hike,Lollipop loop,11.1,2.0,3205.0,Difficult,Mid-spring - fall,No,Yes,Not above the Wahkeena Trail junction
Gillette Lake Hike,Out and back,5.6,435.0,650.0,Easy,Year round,Yes,No,Yes
Green Point Mountain Loop Hike,Loop,8.0,4737.0,1275.0,Moderate,Summer into Fall,No,Yes,No
Hamilton Creek Loop Hike,Loop,2.3,75.0,20.0,Easy,All year,Yes,No,No
Hamilton Mountain Loop Hike,Lollipop loop,7.5,2.0,2100.0,Moderate,March to November,No,No,Yes
Hamilton-Hardy Loop Hike,Lollipop loop,13.0,2.0,3505.0,Difficult,Spring through fall,No,No,On Hamilton Mountain
Hardy Ridge Loop Hike,Lollipop loop,8.1,2.0,2175.0,Moderate,Spring through fall,No,No,No
Herman Creek Hike,In and out,15.4,2.0,2970.0,Difficult,All year,"Yes, for a shorter distance",Yes,On summer weekends
Herman Creek Pinnacles Hike,Out and back,4.6,970.0,1305.0,Easy,All year,Yes,No,"Yes, on weekends"
Herman Creek Pinnacles via the PCT Hike,Out and Back,7.4,950.0,1610.0,Moderate,All year,No,No,On the first section to Dry Creek Falls
Herman Creek-Wyeth Hike,In and out,10.8,960.0,2175.0,Moderate,Year-Round,Yes (as a car shuttle),No,No
Hood River Pipeline Hike,In and out,3.3,200.0,110.0,Easy,All year,Yes,No,On summer weekends
Hood River Waterfront Hike,In and out,6.4,95.0,15.0,Easy,All year,Yes,No,Yes
Horsetail Falls Loop Hike,Loop,2.6,395.0,565.0,Easy,"All year, except during winter storms",Yes,No,Yes
Horsethief Butte Hike,Out and back or loop,1.7,498.0,250.0,Easy,Year round,Only on easier trails,No,"Yes, on spring weekends"
Indian Creek Hike,In and out,3.2,480.0,250.0,Easy,All year,Yes,No,No
Indian Mountain Loop Hike,Loop with spur,11.5,4.0,2640.0,Moderate,Summer into Fall,No,es,No
Indian Point Loop Hike,Lollipop loop,7.8,2.0,2730.0,Moderate,All year,No,No,On summer weekends
Klickitat Canyon Hike,In and out,6.8,645.0,100.0,Easy,All year,Yes,No,No
Klickitat Trail: Klickitat Mineral Springs Hike,In and out,5.2,545.0,50.0,Easy,All year,Yes,No,No
Klickitat Trail: Lyle to Klickitat Hike,In and out or car shuttle,13.0,465.0,340.0,Moderate,All year,Yes,No,No
Klickitat Trail: Swale Canyon Hike,In and out or car shuttle,15.0,1560.0,1010.0,Moderate,Fall through spring (closed in summer),Yes,No,No
Labyrinth Hike,Out and Back,3.6,1.0,915.0,Easy,All year,Yes,No,Yes
Labyrinth-Coyote Wall Loop Hike,Loop,7.3,1.0,1790.0,Moderate,All year,"Yes, for older kids",No,Yes
Larch Mountain Crater Loop Hike,Loop,6.3,4.0,1310.0,Moderate,May - November,Yes,No,No
Larch Mountain Crater Rim Loop Hike,Loop,6.2,4.0,1440.0,Moderate,Summer - mid-fall,No,No,"No, except at Sherrard Point"
Larch Mountain Hike,Out and back,14.4,4.0,4010.0,Difficult,Apr–Nov,No,Yes,Extremely crowded to the upper viewpoint; quite cr
Larch Mountain via Oneonta Trail Hike,Out and back,17.2,4.0,4400.0,Difficult,May - October,No,Yes,As far as Triple Falls
Latourell Falls Loop Hike,Loop,2.4,620.0,625.0,Easy,Year round except during winter storms,Yes,No,Yes
Leidl Ridge Hike,In and out,9.1,2140.0,1115.0,Moderate,Spring through fall,No,No,No
Lewis and Clark Park Hike,Out and Back,3.0,,100.0,Easy,Year-Round,Yes,No,Sometimes
Little Beacon Rock Loop Hike,oop,1.6,730.0,375.0,Easy,Year round,Yes,No,Yes
Lower Starvation Loop Hike,Loop,3.1,790.0,795.0,Moderate,Year Round,No,No,No
Lyle Cherry Orchard Hike,Two connected loops,6.5,1245.0,1340.0,Moderate,"All year, best in spring and fall","Yes, for older kids",No,On spring weekends
Maryhill Loops Hike,In and out,5.9,1.0,820.0,Moderate,Year round,Yes,No,No
McCall Point Hike,Out and back,3.4,1.0,1070.0,Moderate,March 1st to October 31st (closed in the wet season to prevent erosion),"Yes, for older kids",No,Yes
McCord Creek to Tanner Creek Loop Hike,Loop,7.1,335.0,820.0,Moderate,Year-round except during winter storms,Only short distances,No,Only as far as Elowah Falls
Memaloose Hills Hike,In and out,3.2,957.0,550.0,Easy,All year,Yes,No,No
Mist Falls Hike,Out and back,0.5,395.0,335.0,Moderate,All year,For adventurous scramblers only,No,No
Mitchell Point Hike,Out and Back,2.6,1.0,1.0,Moderate,All year,No,No,On sunny weekends
Mosier Plateau Hike,In and out,3.5,620.0,760.0,Easy,All year,Yes,No,Yes
Mosier Twin Tunnels Hike,In and out or shuttle,8.5,530.0,1000.0,Moderate,Year round,Yes,No,Yes
Mount Defiance from Columbia River Hike,ut and Back,11.6,4.0,4840.0,Difficult,Mid-May through October,No,No,On weekends
Mount Defiance from Wahtum Lake Road Hike,Out and back,3.2,4959.0,1145.0,Easy,May-Nov,Yes,No,No
Mount Defiance-Starvation Ridge Loop Hike,Loop,12.8,4.0,4970.0,Difficult,Mid-May through October,No,Yes,"Yes, on weekends"
Mud Lake Hike,Out and Back,7.4,4480.0,1400.0,Moderate,Summer into Fall,Yes,es,No
Multnomah Falls Hike,,2.4,895.0,870.0,Moderate,Year-round,Yes,No,Very
Multnomah Falls-Devils Rest Loop Hike,Loop,8.2,2.0,2595.0,Difficult,"All year, except when there is low-level snow",No,No,Not above the lower trails
Multnomah-Wahkeena Loop Hike,Trail Log,4.9,1.0,1600.0,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes
Munra Point from Wahclella Hike,Out and Back,6.0,,2270.0,"Difficult (scramble, exposure)","year-round, but hazardous when wet",No,No,No
Munra Point from Yeon Trailhead Hike,Out and Back,6.0,,2270.0,"Difficult (scramble, exposure)","year-round, but hazardous when wet",No,No,No
Nellie Corser Loop Hike,Loop,0.8,1.0,275.0,Easy,Spring through fall,Yes,No,No
Nesmith Point Hike,Out and Back,10.6,3.0,3800.0,Difficult due to elevation gain,Apr-Oct,No,Yes,No
Nesmith-Oneonta Traverse Hike,Point to point (Car Shuttle),14.1,,3800.0,Difficult due to elevation gain and length,Apr-Oct,No,Yes,No
Nesmith-Tanner Traverse Hike,Point to point (Car Shuttle),16.7,,4350.0,Difficult due to elevation gain,Apr-Oct,No,Yes,No
Nick Eaton Falls Hike,In and out,4.2,1.0,970.0,Easy,All year,Yes,No,Yes
Nick Eaton Ridge Loop Hike,Loop,13.6,4.0,4820.0,Difficult,Late spring into fall,No,Yes,No
North Lake Hike,In and out,12.8,3988.0,4220.0,Difficult,Summer into Fall,No,Yes,No
Oneonta Gorge Hike,Out and Back,1.0,,0.0,Difficult (due to climbing over logs and deep wadi,Aug-Oct,No,,
Oneonta-Multnomah Loop Hike,Loop,12.3,2.0,3050.0,Difficult,Mid-spring - fall,No,Yes,Not in the upper reaches
Pepper Mountain Hike,Out and Back,2.6,2.0,700.0,Easy,Spring to late fall,Yes,No,No
Ponytail Falls Hike,Out and Back,0.8,350.0,320.0,Easy,Year-round except during winter storms,Yes,No,Yes
Pool of the Winds Hike,Out and Back,2.2,1.0,700.0,Easy,Year round,Yes,No,Yes
Punchbowl Falls Park Hike,In and out/loop,2.1,910.0,210.0,Easy,All year,Yes,No,On summer weekends
Rainy Lake Loop Hike,Loop,3.2,4.0,755.0,Easy,Summer through fall,Yes,No,No
Rainy Lake via Gorton Creek Trail Hike,Out and Back,22.0,4.0,5430.0,Difficult,Summer into fall,No,Yes,No
River to Rock Loop Hike,Reverse lollipop,3.1,285.0,270.0,Easy,All year,Yes,No,No
Rock of Ages Loop Hike,Loop,10.0,,3000.0,"Difficult (steepness, length and creek crossing)",Apr-Oct,No,Yes,Only at trailhead
Rooster Rock Loop Hike,Loop,2.7,210.0,240.0,Easy,Year round,Yes,No,No
Rooster Rock Wagon Road Hike,In and out,4.8,845.0,910.0,Easy,All year,Yes,No,No
Rowena Plateau Hike,Lollipop loop,2.2,710.0,240.0,Easy,Year round,Yes,No,Yes
Ruckel Ridge Loop Hike,Loop,9.0,,3700.0,Difficult,May-October,Yes,No,No
Rudolph Spur Loop Hike,Loop,10.4,,3700.0,Difficult,May-Oct,No,Yes,No
Sams Walker Loop Hike,Loop,1.1,45.0,15.0,Easy,All year,Yes,No,No
Sandy River Delta Loop Hike,Loop,4.4,35.0,40.0,Easy,Year round,Yes,No,Yes
Sevenmile Hill Loop Hike,Loop,4.8,1980.0,1260.0,Moderate,"All year, but spring is best","For older, adventurous kids",No,No
Shady Glen Loop Hike,Short loop,0.6,105.0,55.0,Easy,All year,Yes,No,No
She Who Watches Hike,In and out,0.6,240.0,45.0,Easy,Year round,Yes,No,Group tour
Shepperds Dell Hike,In and out,0.2,155.0,45.0,Easy,All,Yes,No,No
Sherrard Point Hike,Out and Back,0.6,4.0,170.0,Easy,Apr-Oct,Yes,No,Yes
Skamania Lodge Loop Hike,Two loops,3.3,405.0,310.0,Easy,All year,Yes,No,No
Soda Springs Loop Hike,Loop,11.3,2105.0,2060.0,Moderate,Spring to beginning of fall,No,No,No
Sorosis Park Loop Hike,Two connected loops,1.5,745.0,160.0,Easy,All year,Yes,No,No
Spearfish Lake Loop Hike,Loop,2.2,225.0,45.0,Easy,Year round,Yes,No,Sometimes
St. Cloud Loop Hike,Loop,1.0,50.0,25.0,Easy,All year,Yes,No,No
Stacker Butte Hike,Out and back,5.1,3.0,1145.0,Moderate,"Year round, but spring is best",O.K. for older kids,No,"Yes, at prime bloom time on balmy spring weekends"
Starvation Creek Waterfalls Hike,Out and back with spurs,4.3,285.0,145.0,Easy,All year,Yes,No,Yes
Starvation Ridge Hike,ut and Back,8.8,3.0,3855.0,Difficult,May through October,No,Yes,No
Strawberry Island Loop Hike,Loop,3.2,165.0,150.0,Easy,All year,Yes,No,No
Table Mountain from Bonneville Hike,Out and back with loop,15.5,3417.0,4320.0,Difficult,April-October,No,No,Yes
Table Mountain North Ridge Hike,Lollipop loop,19.5,,4350.0,Difficult,April-October,No,Yes,"Yes, but not on the north loop"
Tanner Butte Hike,Out-and-back,19.0,,4800.0,Difficult,April-November,No,Yes,No
Tanner Creek Hike,Out and Back,12.2,,1400.0,Moderate,Mar-Nov,Too long,Yes,No
Tanner Creek to Eagle Creek Loop Hike,Loop,5.0,605.0,835.0,Moderate,Year-round except during winter storms,"Yes, for older kids",No,No
Tanner Cutoff Loop Hike,Dogbone (Out to Loop and Back),14.4,,3700.0,Difficult,Apr-Nov,"No, too long",Yes,No
Tanner-Eagle Traverse Hike,Traverse (Car Shuttle),23.6,,4500.0,Difficult,Apr-Nov,Too long,Yes,only the last 7 miles near Eagle Creek
The Dalles Riverfront Hike,In and out,6.6,210.0,100.0,Easy,All year,Yes,No,No
Tomlike Mountain Hike,Reverse lollipop,6.8,4555.0,1565.0,Moderate,Summer into Fall,"Yes, for older kids",No,No
Tooth Rock Loop Hike,Loop,1.8,440.0,410.0,Moderate,All year,No,No,No
Tracy Hill Loop Hike,Loop,6.1,1.0,1715.0,Moderate,Year round; spring is best,Yes,No,No
Triple Falls Hike,Out and back,3.6,650.0,680.0,Moderate,Year round except during winter storms,Yes: but there are steep drop-offs,No,Yes
Two Chiefs Trail Hike,Out and back,15.2,1.0,2575.0,Moderate,Year round,No,No,No
Upper Hardy Creek Loop Hike,Lollipop loop,8.4,2420.0,1875.0,Moderate,All year,No,No,No
Upper McCord Creek Falls Hike,Out and back,1.9,540.0,445.0,Easy,Year-round except during winter storms,Yes,No,Yes
Viento State Park Hike,Out and back with spurs,5.8,325.0,490.0,Moderate,All year,Yes,No,Yes
Wahclella Falls Hike,In and out,2.4,335.0,320.0,Easy,Year round,Yes,No,Yes
Wahkeena Falls Hike,Out and back,1.4,645.0,565.0,Moderate,All year,Yes,No,Yes
Wahtum Lake to Benson Plateau Hike,Lollipop loop,13.2,4.0,2780.0,Difficult,June into October,No,Yes,Around Wahtum Lake
Wahtum Lake via Herman Creek Hike,Out and back (with potential loops),22.2,4.0,5070.0,Difficult,Summer into fall,For a short distance,Yes,On summer weekends
Wahtum Lake via Pacific Crest Trail Hike,Out and back,33.8,4.0,6010.0,Difficult,June into October,No,Yes,Yes
Wahtum Lake via Ruckel Creek Hike,Out and back,29.8,,6270.0,Difficult,May-October,No,Yes,No
Warren Lake to Mount Defiance Hike,Lollipop loop,4.7,4.0,1340.0,Moderate,Summer into fall,"Yes, for older kids",Yes,No
Waucoma Lakes Loop Hike,Double loop,16.5,4737.0,3170.0,Difficult,Summer/Fall,No,Yes,No
Wauna Point Hike,Out and Back,9.8,,3380.0,Moderate,Apr-Nov,No,Yes,No
Wauna Viewpoint from Eagle Creek Hike,Out and back,3.4,1.0,1030.0,Moderate,Year round,Yes,No,No
Wauna Viewpoint from Tooth Rock Hike,Lollipop loop,5.4,1.0,1200.0,Moderate,Year round,No,No,No
Wauneka Point Hike,In and out,17.4,3.0,5680.0,Difficult,Summer into Fall,No,es,As far as Nesmith Point
Wind Mountain Hike,Out and Back,2.9,1.0,1185.0,Moderate,Year round,Yes,No,No
Wygant Peak Hike,Out and Back,9.2,2.0,2365.0,Moderate,all,No,No,Never
Young Creek Bottomland Hike,In and out,4.3,45.0,40.0,Easy,Summer through falll,Yes,No,No
